date,Quarterly CPI,Quarterly Real GDP,Quarterly Total Nonfarm Employment
2000-01-01,169.3,12935.252,131005
2000-02-01,170.0,,131124
2000-03-01,171.0,,131596
2000-04-01,170.9,13170.749,131888
2000-05-01,171.2,,132105
2000-06-01,172.2,,132061
2000-07-01,172.7,13183.89,132236
2000-08-01,172.7,,132230
2000-09-01,173.6,,132353
2000-10-01,173.9,13262.25,132351
2000-11-01,174.2,,132556
2000-12-01,174.6,,132709
2001-01-01,175.6,13219.251,132698
2001-02-01,176.0,,132789
2001-03-01,176.1,,132747
2001-04-01,176.4,13301.394,132463
2001-05-01,177.3,,132410
2001-06-01,177.7,,132299
2001-07-01,177.4,13248.142,132177
2001-08-01,177.4,,132028
2001-09-01,178.1,,131771
2001-10-01,177.6,13284.881,131454
2001-11-01,177.5,,131142
2001-12-01,177.4,,130982
2002-01-01,177.7,13394.91,130852
2002-02-01,178.0,,130736
2002-03-01,178.5,,130717
2002-04-01,179.3,13477.356,130623
2002-05-01,179.5,,130634
2002-06-01,179.6,,130684
2002-07-01,180.0,13531.741,130590
2002-08-01,180.5,,130587
2002-09-01,180.8,,130501
2002-10-01,181.2,13549.421,130628
2002-11-01,181.5,,130615
2002-12-01,181.8,,130472
2003-01-01,182.6,13619.434,130580
2003-02-01,183.6,,130444
2003-03-01,183.9,,130232
2003-04-01,183.2,13741.107,130177
2003-05-01,182.9,,130196
2003-06-01,183.1,,130194
2003-07-01,183.7,13970.157,130191
2003-08-01,184.5,,130149
2003-09-01,185.1,,130254
2003-10-01,184.9,14131.379,130454
2003-11-01,185.0,,130474
2003-12-01,185.5,,130588
2004-01-01,186.3,14212.34,130769
2004-02-01,186.7,,130825
2004-03-01,187.1,,131142
2004-04-01,187.4,14323.017,131411
2004-05-01,188.2,,131694
2004-06-01,188.9,,131793
2004-07-01,189.1,14457.832,131848
2004-08-01,189.2,,131937
2004-09-01,189.8,,132093
2004-10-01,190.8,14605.595,132447
2004-11-01,191.7,,132503
2004-12-01,191.7,,132624
2005-01-01,191.6,14767.846,132774
2005-02-01,192.4,,133032
2005-03-01,193.1,,133156
2005-04-01,193.7,14839.707,133518
