date,S&P/Case-Shiller U.S. National Home Price Index,S&P/Case-Shiller CA-Los Angeles Home Price Index
2000-01-01,100.0,101.031209338409
2000-02-01,100.571,102.043406372408
2000-03-01,101.466,103.224699377365
2000-04-01,102.54,104.159399030212
2000-05-01,103.701,104.924697887769
2000-06-01,104.855,105.693407172638
2000-07-01,105.721,106.324687353607
2000-08-01,106.521,106.966632711479
2000-09-01,107.134,107.886787136971
2000-10-01,107.727,108.808656786765
2000-11-01,108.289,109.983918723949
2000-12-01,108.79,110.716005231889
2001-01-01,109.213,112.031476350946
2001-02-01,109.642,112.902899223066
2001-03-01,110.393,114.178497051304
2001-04-01,111.246,114.63679627839198
2001-05-01,112.201,115.257389335476
2001-06-01,113.271,115.734611597722
2001-07-01,114.226,116.375632770266
2001-08-01,114.987,117.358519672187
2001-09-01,115.463,118.340089996585
2001-10-01,115.679,119.315660019879
2001-11-01,115.836,120.30320596858
2001-12-01,116.053,121.289619988879
2002-01-01,116.436,122.706506908397
2002-02-01,116.917,123.989520837852
2002-03-01,117.93,125.456073951729
2002-04-01,119.209,126.851902185274
2002-05-01,120.788,128.691985965156
2002-06-01,122.332,130.7723059607
2002-07-01,123.685,132.858717826824
2002-08-01,124.728,135.085220162928
2002-09-01,125.492,137.236733541564
2002-10-01,126.135,139.723102510443
2002-11-01,126.641,141.824380604186
2002-12-01,127.15,143.982057066934
2003-01-01,127.651,145.752400675887
2003-02-01,128.326,147.308755655857
2003-03-01,129.309,148.881738794713
2003-04-01,130.488,150.485563459494
2003-05-01,131.839,152.288288628528
2003-06-01,133.224,154.06288324105
2003-07-01,134.64600000000002,157.016141960062
2003-08-01,135.964,160.104673875632
2003-09-01,137.075,163.588263352738
2003-10-01,137.975,167.056452272763
2003-11-01,138.765,170.757041274832
2003-12-01,139.628,174.784575306355
2004-01-01,140.707,178.77374982132702
2004-02-01,142.03,182.91494620378003
2004-03-01,144.08100000000002,188.786670032114
2004-04-01,146.179,194.500280753227
2004-05-01,148.333,199.737762097097
2004-06-01,150.516,205.278668650557
2004-07-01,152.335,209.297249479474
2004-08-01,153.812,211.149159635949
2004-09-01,155.107,212.717824984082
2004-10-01,156.298,213.86872265353
2004-11-01,157.496,216.022335142703
2004-12-01,158.67,218.129147263296
2005-01-01,160.13,221.471347574966
2005-02-01,161.924,225.20735203393903
2005-03-01,164.576,229.746942161388
2005-04-01,166.99900000000002,233.443602958796
2005-05-01,169.544,237.105490693029
2005-06-01,172.015,240.583382630924
2005-07-01,174.09599999999998,244.262615219534
2005-08-01,175.922,248.283857394838
2005-09-01,177.61,252.841122678389
2005-10-01,178.752,257.743264884777
2005-11-01,179.675,261.66330153984103
2005-12-01,180.109,265.419123874008
2006-01-01,180.829,268.20880161107203
2006-02-01,181.501,271.23381810723
2006-03-01,182.75,272.084447388236
2006-04-01,183.649,273.089415663836
2006-05-01,184.381,272.930774803016
2006-06-01,184.548,272.218211249787
2006-07-01,184.608,271.49404516141004
2006-08-01,184.406,270.587739713741
2006-09-01,184.2,270.434960084006
2006-10-01,184.056,270.99826054177004
2006-11-01,183.634,271.90203422045
2006-12-01,183.232,270.321741022753
2007-01-01,182.721,270.804835070435
2007-02-01,182.473,270.13680347222
2007-03-01,182.195,268.74768053893297
2007-04-01,182.132,266.429535166066
2007-05-01,181.886,264.24475358968897
2007-06-01,181.542,261.322976799974
2007-07-01,180.996,258.489022213396
2007-08-01,180.238,254.848648838581
2007-09-01,179.125,251.299415696465
2007-10-01,177.532,247.006600332663
2007-11-01,175.16299999999998,239.233206719013
2007-12-01,173.33900000000003,233.113874339054
2008-01-01,171.079,226.11184267588905
